,unlist_train_test_abstract_unique,concat_Lens ID_Train,Lens ID_Train,Count_Train,concat_Lens ID_Test,Lens ID_Test,Count_Test
1994,curatori,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
1995,process,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
1996,mani,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
1997,themat,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
1998,superimpos,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
1999,complementari,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2000,frequent,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2001,object,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2002,relev,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,4.0
2003,relationship,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,6.0
2004,book,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2005,paint,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2006,draft,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2007,sketch,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2008,famou,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2009,technolog,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2010,enabl,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2011,record,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2012,interlink,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2013,achiev,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2014,interoper,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2015,ad,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2016,valu,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2017,aim,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2018,research,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2019,character,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2020,vocabulari,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2021,case,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2022,exampl,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2023,suggest,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2024,curat,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,2.0
2025,mention,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2026,literatur,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2027,conceptu,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2028,model,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2029,cidoc,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2030,crm,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2031,inspir,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2032,identifi,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,3.0
2033,compar,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2034,similar,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2035,mean,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2036,synthes,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2037,normal,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2038,set,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2039,thirti,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2040,formal,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2041,properti,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2042,result,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2043,provision,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2044,start,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2045,discuss,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2046,test,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2047,enhanc,20183-733-118-359-209,183-733-118-359-209,0.0,20006-131-603-403-086,006-131-603-403-086,1.0
2048,recent,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2049,experi,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2050,build,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2051,mainten,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2052,reus,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2053,ontolog,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2054,shown,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,1.0
2055,effici,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2056,collabor,21050-418-334-813-530,050-418-334-813-530,2.0,21090-193-723-112-590,090-193-723-112-590,0.0
2057,howev,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2058,commun,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2059,profession,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2060,librarian,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2061,web,21050-418-334-813-530,050-418-334-813-530,3.0,21090-193-723-112-590,090-193-723-112-590,0.0
2062,design,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2063,matter,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2064,expert,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2065,difficult,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2066,time,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2067,consum,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2068,reason,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2069,strategi,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2070,logic,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2071,kind,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2072,represent,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2073,applic,21050-418-334-813-530,050-418-334-813-530,2.0,21090-193-723-112-590,090-193-723-112-590,0.0
2074,semant,21050-418-334-813-530,050-418-334-813-530,2.0,21090-193-723-112-590,090-193-723-112-590,0.0
2075,articl,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2076,intend,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2077,refer,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2078,scheme,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2079,concis,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2080,simpl,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2081,explan,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,1.0
2082,common,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2083,specialist,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2084,background,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,1.0
2085,togeth,21050-418-334-813-530,050-418-334-813-530,1.0,21090-193-723-112-590,090-193-723-112-590,0.0
2086,prime,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,5.0
2087,number,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,6.0
2088,deriv,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2089,visual,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2090,eight,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2091,ray,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2092,introduc,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2093,cyclic,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2094,accord,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2095,model,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2096,atom,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2097,shell,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2098,form,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,2.0
2099,code,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2100,pascal,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2101,triangl,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2102,implic,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2103,conclud,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2104,materi,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2105,world,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2106,dimension,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2107,space,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,2.0
2108,around,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2109,decim,21050-418-334-813-530,050-418-334-813-530,0.0,21090-193-723-112-590,090-193-723-112-590,1.0
2110,scientif,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2111,technolog,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2112,watch,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2113,task,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,1.0
2114,expert,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2115,survey,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2116,evolut,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2117,research,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2118,topic,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2119,area,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2120,special,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2121,order,22193-381-516-111-686,193-381-516-111-686,3.0,22116-226-320-354-253,116-226-320-354-253,0.0
2122,detect,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2123,interest,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2124,chang,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2125,major,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2126,method,22193-381-516-111-686,193-381-516-111-686,5.0,22116-226-320-354-253,116-226-320-354-253,0.0
2127,propos,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2128,evalu,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2129,metric,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2130,bibliometr,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,1.0
2131,scientometr,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,1.0
2132,reli,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2133,sole,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2134,statist,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2135,data,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2136,analysi,22193-381-516-111-686,193-381-516-111-686,4.0,22116-226-320-354-253,116-226-320-354-253,1.0
2137,citat,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2138,word,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2139,usual,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2140,structur,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,1.0
2141,databas,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2142,unit,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2143,keyword,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2144,alreadi,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2145,attribut,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2146,document,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2147,human,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2148,advent,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2149,huge,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2150,amount,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2151,unstructur,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2152,textual,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2153,render,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2154,necessari,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2155,integr,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2156,natur,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2157,languag,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2158,process,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2159,nlp,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2160,techniqu,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2161,first,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2162,extract,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2163,meaning,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2164,text,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,1.0
2165,orient,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2166,analys,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2167,linguist,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2168,relat,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2169,syntact,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2170,variat,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2171,basi,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2172,cluster,22193-381-516-111-686,193-381-516-111-686,3.0,22116-226-320-354-253,116-226-320-354-253,0.0
2173,formalis,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2174,weight,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2175,graph,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2176,algorithm,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2177,preferenti,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2178,link,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2179,seek,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2180,reduc,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2181,produc,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2182,class,22193-381-516-111-686,193-381-516-111-686,2.0,22116-226-320-354-253,116-226-320-354-253,0.0
2183,ideal,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2184,repres,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2185,corpu,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2186,result,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2187,valid,22193-381-516-111-686,193-381-516-111-686,1.0,22116-226-320-354-253,116-226-320-354-253,0.0
2188,argument,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,2.0
2189,reflect,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2190,short,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2191,commun,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2192,publish,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2193,literatur,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2194,botani,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2195,zoolog,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2196,discuss,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2197,tri,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2198,captur,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2199,logic,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2200,howev,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2201,imperfectli,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2202,relev,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2203,depend,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2204,particular,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2205,goal,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2206,name,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2207,potenti,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2208,benefit,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2209,sketch,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2210,relationship,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2211,bibliograph,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2212,entri,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2213,better,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2214,manner,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2215,possibl,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2216,day,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2217,practic,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2218,impos,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2219,tight,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2220,limit,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2221,depth,22193-381-516-111-686,193-381-516-111-686,0.0,22116-226-320-354-253,116-226-320-354-253,1.0
2222,look,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2223,current,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2224,trend,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,1.0
2225,research,23115-384-194-385-151,115-384-194-385-151,2.0,23019-340-375-042-065,019-340-375-042-065,5.0
2226,concentr,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2227,univers,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2228,system,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2229,map,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2230,vocabulari,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2231,interoper,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2232,concern,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2233,problem,23115-384-194-385-151,115-384-194-385-151,2.0,23019-340-375-042-065,019-340-375-042-065,0.0
2234,internet,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,1.0
2235,search,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,1.0
2236,engin,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2237,resourc,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,1.0
2238,discoveri,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2239,thesauri,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
2240,visual,23115-384-194-385-151,115-384-194-385-151,1.0,23019-340-375-042-065,019-340-375-042-065,0.0
