,Lens ID,045-388-908-940-286,131-292-364-160-556,116-085-787-369-516,179-132-294-510-213,027-396-266-532-738,060-372-899-346-10X,061-018-838-320-648,007-409-477-173-741,097-421-372-053-520,043-454-317-567-459,046-376-269-492-795,078-881-949-441-033,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,116-509-832-503-46X,063-359-887-330-154,066-382-980-653-77X,036-149-448-029-082,118-102-398-817-762
48,154-969-566-820-758,0.013035637874814763,0.09326844595431358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,164-643-190-599-559,0.03417592545586885,0.06430411888452003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,173-877-453-721-519,0.11010097790568615,0.05103964760229785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,180-658-270-170-05X,0.022573597197467276,0.01447916526391481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,182-158-356-687-801,0.010870203607804664,0.020374445114013078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,193-381-516-111-686,0.01203135857222583,0.03071996863859989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,002-768-931-855-543,0.0,0.0,0.01665247280616399,0.051364354854493345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,006-687-633-497-865,0.0,0.0,0.029294607380730996,0.022323370328705645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,013-595-252-334-822,0.0,0.0,0.015613428900195327,0.010535825473549181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,017-489-591-364-184,0.0,0.0,0.016053398594355256,0.007533913697472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,030-929-233-804-44X,0.0,0.0,0.02628931312447111,0.06782725159156676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,032-388-474-318-614,0.0,0.0,0.027019122127169233,0.03850838518733293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,033-555-573-298-315,0.0,0.0,0.003151799643591324,0.03312017344273177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,034-937-628-469-063,0.0,0.0,0.008450528899580126,0.029883525065481382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,044-198-652-180-16X,0.0,0.0,0.0417408521511486,0.01803505862273873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,046-846-411-960-590,0.0,0.0,0.019556229474255518,0.020046694902685028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,056-146-827-136-55X,0.0,0.0,0.006147330259029656,0.0028571057750932842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,061-894-521-034-918,0.0,0.0,0.0072267587919810465,0.02723187918622396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,065-723-239-027-836,0.0,0.0,0.056796364094052185,0.07085587057743406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,071-000-824-702-757,0.0,0.0,0.017779973616850336,0.04255904580351587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,073-054-463-858-866,0.0,0.0,0.02984653170471154,0.0554411054006343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,078-012-100-970-29X,0.0,0.0,0.011204565703832974,0.022805057527594298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,118-400-153-349-767,0.0,0.0,0.024228343904049075,0.006697599236697801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,127-655-016-585-334,0.0,0.0,0.027551663531720606,0.03677822192222819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,129-335-229-947-343,0.0,0.0,0.06517237123626718,0.032411313518494356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,149-853-331-952-574,0.0,0.0,0.013885275939781064,0.038105105788207916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,174-044-959-189-259,0.0,0.0,0.021176345620072746,0.045675152072178274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,191-348-260-799-474,0.0,0.0,0.02861603187258831,0.039570964511956574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,001-759-543-067-376,0.0,0.0,0.0,0.0,0.02891657246923092,0.04544580213904358,0.03274210842319377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,006-948-163-366-774,0.0,0.0,0.0,0.0,0.035540927135568855,0.02070528836035191,0.07471224237496868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,013-996-415-887-147,0.0,0.0,0.0,0.0,0.020400102881808498,0.003532520050324319,0.024205174803879563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,025-107-741-251-630,0.0,0.0,0.0,0.0,0.02078076471092441,0.028170544720572066,0.026157653584430313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,050-962-085-082-050,0.0,0.0,0.0,0.0,0.0222842961666284,0.005193526465955469,0.04531039667061312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,056-414-859-740-557,0.0,0.0,0.0,0.0,0.035754297067275016,0.011027949093657313,0.0689704873216086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,056-709-260-660-68X,0.0,0.0,0.0,0.0,0.03887075134822475,0.005260479000673615,0.02746020917036619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,056-843-928-028-56X,0.0,0.0,0.0,0.0,0.017212467741843495,0.02114917894561392,0.02894010196184434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,068-842-015-943-027,0.0,0.0,0.0,0.0,0.08032682078222125,0.04531952681020476,0.0764254724068344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,070-541-958-070-965,0.0,0.0,0.0,0.0,0.07898746379408764,0.01670894424463073,0.08534320592210795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,071-572-690-596-47X,0.0,0.0,0.0,0.0,0.03639907863109695,0.04179172890722085,0.040473773022763074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,074-632-781-234-90X,0.0,0.0,0.0,0.0,0.03012038080357815,0.02946641531864478,0.04729697249396354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,078-470-148-980-604,0.0,0.0,0.0,0.0,0.03425519607792496,0.12223996561909108,0.03662227692940401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
