,Lens ID,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,045-388-908-940-286,061-018-838-320-648,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,025-320-084-599-970,046-376-269-492-795,060-372-899-346-10X,062-055-064-561-85X,063-359-887-330-154,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,007-409-477-173-741,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
69,110-502-601-552-555,0.0,0.0,0.0,0.0,0.03761008300638592,0.023319358004857436,0.04483208775253618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,110-917-132-699-697,0.0,0.0,0.0,0.020614885877362325,0.05426004869524351,0.0421984701040181,0.03927989913020406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,111-417-084-591-248,0.0,0.0,0.0,0.06213861762250795,0.02938065325298371,0.03227599903168057,0.035973969297816905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,118-400-153-349-767,0.0,0.0,0.0,0.07735276463191842,0.024470673010025763,0.03109676136397259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,120-767-088-360-769,0.0,0.0,0.0,0.03318939647067641,0.017139989267168594,0.07567795741750158,0.05671975108853002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,123-112-711-908-995,0.0,0.0,0.0,0.0,0.04281622638874678,0.016801268988630005,0.005978494410970563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,129-809-003-331-783,0.0,0.0,0.0,0.05099492286665529,0.013660388564045096,0.04400485807060045,0.04531090518424437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,132-693-568-339-041,0.0,0.0,0.0,0.06346987928917355,0.014921021984554299,0.03369669097159664,0.040071158402591546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,134-995-876-286-996,0.0,0.0,0.0,0.02625369154922334,0.0588448625534358,0.01291039308232701,0.004113920202339518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,167-707-200-597-186,0.0,0.0,0.0,0.006670165425478306,0.08136848238537538,0.03289476452483709,0.07847046874699672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,169-888-128-565-929,0.0,0.0,0.0,0.0,0.01897872998871646,0.0,0.015151429810627476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,182-499-359-463-219,0.0,0.0,0.0,0.04652141200866228,0.07143159710452582,0.023697009675859974,0.1110991919233594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
