,Lens ID,063-359-887-330-154,027-396-266-532-738,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,036-149-448-029-082,045-388-908-940-286,046-376-269-492-795,116-509-832-503-46X,007-409-477-173-741,116-085-787-369-516,118-102-398-817-762,025-320-084-599-970,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,179-132-294-510-213
79,109-760-057-069-354,0.0,0.026575507654895057,0.04002727350152201,0.01091351299995404,0.06377545350153549,0.04360380734429639,0.04258754582099414,0.02588718749770151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,110-502-601-552-555,0.0,0.060334593606472434,0.062338095612485045,0.013320903734950653,0.025486289555667653,0.04485775611596858,0.0054085514631709375,0.013437679257266145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,115-098-299-620-069,0.0,0.01953716522298348,0.0686859149003747,0.07256351881740102,0.03400506494940308,0.016310912140006045,0.013697950228303607,0.05143359791946679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,117-281-186-702-242,0.0,0.04786720089546076,0.02923716445289004,0.0032623732485663644,0.018944052024376132,0.04726008715005495,0.019956847624788512,0.023299447586825874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,120-465-396-538-465,0.0,0.020088435835002895,0.03238263198331192,0.014582768200385354,0.010758024747015918,0.07207116441488776,0.04562985040691055,0.027196406319868492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,122-703-378-850-053,0.0,0.033448162074391344,0.006983654050838313,0.006950965999744043,0.04799966283796553,0.05330247850285151,0.03378476155914824,0.043974663361417914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,123-112-711-908-995,0.0,0.031050096958968907,0.01634357174787042,0.045039567730122305,0.047241919669644236,0.018069542831502736,0.03203101799650449,0.013454594391091777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,124-748-119-715-692,0.0,0.07079747883265124,0.00928209319293358,0.07361040366999252,0.05051908808703484,0.07500416196852192,0.06934498956585734,0.051223150149321786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,127-482-211-718-005,0.0,0.03759939458446532,0.011970377407000011,0.004997834143231484,0.0669502124896072,0.04121004652318506,0.024625162569347173,0.037576986741412376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,129-202-026-489-574,0.0,0.02425299474840245,0.005909098947924613,0.00911286389099889,0.02290785946433654,0.005438962317013291,0.0,0.027137972071443164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
