,Lens ID,043-454-317-567-459,046-376-269-492-795,060-372-899-346-10X,066-382-980-653-77X,078-881-949-441-033,027-396-266-532-738,036-149-448-029-082,061-018-838-320-648,063-359-887-330-154,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,097-421-372-053-520,116-085-787-369-516,131-292-364-160-556,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,116-509-832-503-46X,118-102-398-817-762
51,109-321-719-727-13X,0.007184319793701528,0.027613968566659576,0.05326781451391242,0.017324830386305768,0.05597629591436351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,110-917-132-699-697,0.020823047789741887,0.04875843941314743,0.009437101062217406,0.029619487010005628,0.02106276308992945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,117-281-186-702-242,0.032926227134234216,0.06348797871314564,0.0023643080242684296,0.036640402258260436,0.020995574115229506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,120-465-396-538-465,0.028656919892682497,0.033013743723017845,0.019523294799246825,0.06646416488664914,0.03421689668168973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,120-820-618-313-83X,0.009884640950757594,0.03216809715296315,0.010931091940252486,0.06327277433217697,0.013064855566181362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,129-443-446-272-731,0.013795767614671632,0.029273205359380237,0.0346308172752301,0.02273946658516543,0.07904096202980464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,129-518-699-808-841,0.035438543778273005,0.03212867795211,0.0050700622882027075,0.08527311849521307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,135-514-499-218-272,0.004712023043070485,0.10207184870832975,0.057357222774419035,0.060990871817391615,0.036876194538524004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,148-753-200-673-175,0.03769927832562453,0.01957043499814929,0.10561495540790593,0.016237750129290757,0.011261973975541531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,158-139-147-446-223,0.01336813447550485,0.025420238585873348,0.0,0.04638325729096837,0.007976187183642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,164-013-219-239-121,0.042615917443530674,0.0423558968198624,0.0,0.010745698627473228,0.04962214025779756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,188-130-097-599-287,0.008874518488412418,0.01916801876345169,0.059760469210651146,0.023199655653629206,0.04089406992458337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,190-805-304-109-100,0.0018407185115891724,0.013094519951994035,0.04016066497627432,0.09909822818165889,0.02219391629342607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,191-464-698-912-126,0.011251232791831772,0.05287020562684905,0.008611299366708824,0.07877784347370319,0.007483396250449329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,194-391-518-246-985,0.029269180761816525,0.06874021378321449,0.046503005934516485,0.04568135036558349,0.04190156437181924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,001-281-947-751-975,0.0,0.0,0.0,0.0,0.0,0.005198112864377527,0.019432146308839576,0.04060902795543586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,013-996-415-887-147,0.0,0.0,0.0,0.0,0.0,0.0346357372137498,0.0005554751248214969,0.03976901101603188,0.00048273973811607286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
