,Lens ID,059-611-580-408-33X,116-509-832-503-46X,046-376-269-492-795,063-359-887-330-154,025-320-084-599-970,066-382-980-653-77X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,060-372-899-346-10X,078-881-949-441-033,007-409-477-173-741,062-055-064-561-85X,036-149-448-029-082,027-396-266-532-738,045-388-908-940-286,061-018-838-320-648,118-102-398-817-762,097-421-372-053-520,116-085-787-369-516
63,191-464-698-912-126,0.0,0.0,0.06898886821856343,0.012169697939414532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,006-948-163-366-774,0.0,0.0,0.0,0.0,0.05244829173080336,0.03799959312493785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,013-996-415-887-147,0.0,0.0,0.0,0.0,0.04521834562879409,0.006596617975710718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,026-982-172-464-821,0.0,0.0,0.0,0.0,0.02858484026645849,0.07131667838082575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,030-902-854-635-052,0.0,0.0,0.0,0.0,0.050179490533680454,0.03408362414103872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,030-929-233-804-44X,0.0,0.0,0.0,0.0,0.07434208728390904,0.03988877858837691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,037-935-884-055-847,0.0,0.0,0.0,0.0,0.03979305992346943,0.035323545402012616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,046-402-144-705-650,0.0,0.0,0.0,0.0,0.06572173015804354,0.025963150221728536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,050-238-052-849-254,0.0,0.0,0.0,0.0,0.08466709687530702,0.045638493306037746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,050-962-085-082-050,0.0,0.0,0.0,0.0,0.021527755950033554,0.01615011981687566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,054-305-338-343-34X,0.0,0.0,0.0,0.0,0.046033684216136746,0.03163963977663615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,056-709-260-660-68X,0.0,0.0,0.0,0.0,0.02055956762272892,0.027137202149099978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,064-607-448-852-803,0.0,0.0,0.0,0.0,0.05309527622260108,0.008121549871198227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,078-451-133-512-02X,0.0,0.0,0.0,0.0,0.023839652781450723,0.016658857786300434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,101-931-016-895-249,0.0,0.0,0.0,0.0,0.034229958054274645,0.021968058932610234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,106-258-436-803-499,0.0,0.0,0.0,0.0,0.03166130994148043,0.02205911037564921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,108-795-741-054-873,0.0,0.0,0.0,0.0,0.04296428771700468,0.023250961443677356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,111-417-084-591-248,0.0,0.0,0.0,0.0,0.0198220511765783,0.059976823566924964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,115-384-194-385-151,0.0,0.0,0.0,0.0,0.017464195135237795,0.0008024671651437769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,118-400-153-349-767,0.0,0.0,0.0,0.0,0.015602911906263353,0.02055309766300319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,129-335-229-947-343,0.0,0.0,0.0,0.0,0.012960397264951268,0.023631563027322854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,129-809-003-331-783,0.0,0.0,0.0,0.0,0.03292977394050554,0.031702777367585866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,131-111-699-854-730,0.0,0.0,0.0,0.0,0.03469703329573457,0.0356753005663443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,132-396-141-682-245,0.0,0.0,0.0,0.0,0.04801296956514689,0.024155787675516308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,145-162-485-543-214,0.0,0.0,0.0,0.0,0.05614576194617148,0.04756568786638267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,164-013-219-239-121,0.0,0.0,0.0,0.0,0.058062656622499945,0.020739003894341863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,187-701-961-076-877,0.0,0.0,0.0,0.0,0.08909965679417647,0.045135803924335395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,001-542-585-753-06X,0.0,0.0,0.0,0.0,0.0,0.0,0.015304334464464584,0.05300785827284346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,002-227-810-181-405,0.0,0.0,0.0,0.0,0.0,0.0,0.076231124375983,0.018986825666116414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,006-260-890-457-159,0.0,0.0,0.0,0.0,0.0,0.0,0.015688088460648727,0.008768758726617615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,008-962-886-761-456,0.0,0.0,0.0,0.0,0.0,0.0,0.07666556186056783,0.021889788797945026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,009-175-881-547-438,0.0,0.0,0.0,0.0,0.0,0.0,0.034958839242079334,0.0497523524246925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,013-595-252-334-822,0.0,0.0,0.0,0.0,0.0,0.0,0.05084410816063329,0.01331267870743386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,014-498-810-516-367,0.0,0.0,0.0,0.0,0.0,0.0,0.008834041001667427,0.016838059017222483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,024-276-265-590-973,0.0,0.0,0.0,0.0,0.0,0.0,0.05433465132144863,0.06836435346082417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,031-650-207-787-672,0.0,0.0,0.0,0.0,0.0,0.0,0.04771395754141783,0.032086981061628383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,032-920-635-083-229,0.0,0.0,0.0,0.0,0.0,0.0,0.0004702199804922145,0.049009433039036585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,033-555-573-298-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0038741696578545137,0.04871877068006903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,050-571-717-599-069,0.0,0.0,0.0,0.0,0.0,0.0,0.050159372589610354,0.059285556189045935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,065-723-239-027-836,0.0,0.0,0.0,0.0,0.0,0.0,0.058247543629759674,0.052456387903574334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,067-195-084-305-016,0.0,0.0,0.0,0.0,0.0,0.0,0.04652306052864746,0.061246206186885865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,072-364-355-191-82X,0.0,0.0,0.0,0.0,0.0,0.0,0.011066300272776119,0.03351015365982668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,076-823-648-953-459,0.0,0.0,0.0,0.0,0.0,0.0,0.06621013571471135,0.052393323962881294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,078-012-100-970-29X,0.0,0.0,0.0,0.0,0.0,0.0,0.02941643324609159,0.020102560555498084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,082-495-474-227-605,0.0,0.0,0.0,0.0,0.0,0.0,0.023539981930170227,0.028631532084429884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,084-598-061-461-73X,0.0,0.0,0.0,0.0,0.0,0.0,0.10109864783778702,0.03596210887727844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,093-639-455-889-549,0.0,0.0,0.0,0.0,0.0,0.0,0.03957193565498655,0.004869371703700892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,096-969-589-679-820,0.0,0.0,0.0,0.0,0.0,0.0,0.03422634793492825,0.04416177467545203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,103-743-287-428-874,0.0,0.0,0.0,0.0,0.0,0.0,0.03018369947540325,0.03837413053860948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,108-951-652-767-38X,0.0,0.0,0.0,0.0,0.0,0.0,0.05091869182153642,0.05302462742674021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,109-760-057-069-354,0.0,0.0,0.0,0.0,0.0,0.0,0.02705441333607772,0.016674986448997228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,110-917-132-699-697,0.0,0.0,0.0,0.0,0.0,0.0,0.025602139963925363,0.032929721450473425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,120-465-396-538-465,0.0,0.0,0.0,0.0,0.0,0.0,0.008107313631625953,0.026835176878386494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,127-655-016-585-334,0.0,0.0,0.0,0.0,0.0,0.0,0.025281067905391728,0.02674190297628256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,132-693-568-339-041,0.0,0.0,0.0,0.0,0.0,0.0,0.038650736975123,0.033761435437868595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,134-995-876-286-996,0.0,0.0,0.0,0.0,0.0,0.0,0.010154073392155398,0.022542698833788972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,135-471-224-323-287,0.0,0.0,0.0,0.0,0.0,0.0,0.022688874502216825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,149-853-331-952-574,0.0,0.0,0.0,0.0,0.0,0.0,0.04415814777859323,0.06843241694933021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,152-347-604-820-830,0.0,0.0,0.0,0.0,0.0,0.0,0.07736225367590983,0.012110646143173125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,154-969-566-820-758,0.0,0.0,0.0,0.0,0.0,0.0,0.09446439084935984,0.051960540592117396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,170-177-625-955-412,0.0,0.0,0.0,0.0,0.0,0.0,0.04983996101424809,0.013791955512323588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,173-631-094-662-915,0.0,0.0,0.0,0.0,0.0,0.0,0.1281015129020162,0.06386185126980733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,173-877-453-721-519,0.0,0.0,0.0,0.0,0.0,0.0,0.062120637075579924,0.03498736743999235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,180-963-788-596-582,0.0,0.0,0.0,0.0,0.0,0.0,0.03895562516681317,0.09101674240031132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,182-158-356-687-801,0.0,0.0,0.0,0.0,0.0,0.0,0.024252222268485293,0.034253071885215675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,193-381-516-111-686,0.0,0.0,0.0,0.0,0.0,0.0,0.03471825266538825,0.006040169956051807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
