Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
046-803-481-677-416,Classifying the Humanities,,2014,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Rick Szostak,,41,4,263,275,Visual arts; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2014-4-263,http://dx.doi.org/10.5771/0943-7444-2014-4-263,,10.5771/0943-7444-2014-4-263,2809687139,,0,,6
047-387-044-040-683,The Terminological Polyhedron in LGBTQ Terminology: Self-Naming as a Power to Empower in Knowledge Organization,,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,D. Grant Campbell; José Augusto Chaves Guimarães; Fabio Assis Pinho; Daniel Martínez-Ávila; Francisco Arrais Nascimento,,44,8,586,591,Knowledge organization; Computer science; Linguistics; Terminology; Polyhedron,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-8-586 https://repositorio.unesp.br/handle/11449/160149,http://dx.doi.org/10.5771/0943-7444-2017-8-586,,10.5771/0943-7444-2017-8-586,2783391436,,0,,1
047-407-112-593-075,Errata,,2017,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,44,2,83,83,,,,,,,http://dx.doi.org/10.5771/0943-7444-2017-2-83,,10.5771/0943-7444-2017-2-83,,,0,,1
047-484-864-557-949,Titelei/Inhaltsverzeichnis,,2016,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,43,4,215,216,,,,,,,http://dx.doi.org/10.5771/0943-7444-2016-4-215,,10.5771/0943-7444-2016-4-215,,,0,,0
047-831-490-096-319,Enhancing the Visibility and Relevance of Thesauri in the Web: Searching for a Hub in the Linked Data Environment,,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Francisco-Javier García-Marco,,43,3,193,202,Visibility; World Wide Web; Computer science; Linked data,,,,,http://dx.doi.org/10.5771/0943-7444-2016-3-193,http://dx.doi.org/10.5771/0943-7444-2016-3-193,,10.5771/0943-7444-2016-3-193,2799410397,,0,,3
048-324-018-759-844,Titelei/Inhaltsverzeichnis,,2015,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,42,1,1,3,,,,,,,http://dx.doi.org/10.5771/0943-7444-2015-1-1,,10.5771/0943-7444-2015-1-1,,,0,,0
048-584-667-630-785,"Handbook of Metadata, Semantics and Ontologies. Edited by Miguel-Angel Sicilia. Singapore: World Scientific Publishing Co. 2014. 570 p. ISBN 978-981-283-629-8, price: 155 US$",,2014,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,41,4,332,334,,,,,,,http://dx.doi.org/10.5771/0943-7444-2014-4-332,,10.5771/0943-7444-2014-4-332,,,0,,0
049-067-361-846-904,Sentiment Analysis and Knowledge Organization: An Overview of the International Literature,,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Lígia Maria Arruda Café; Renato Rocha Souza,,44,3,199,214,Political science; Knowledge organization; International literature; Knowledge management; Sentiment analysis,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-3-199,http://dx.doi.org/10.5771/0943-7444-2017-3-199,,10.5771/0943-7444-2017-3-199,2779594837,,0,,0
049-752-104-039-584,Experiences with automated categorization in e-government information retrieval,,2014,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Tanja Svarre Jonasen; Marianne Lykke,,41,1,76,84,E-Government; Information retrieval; Computer science; Human–computer information retrieval; Categorization,,,,,https://vbn.aau.dk/da/publications/experiences-with-automated-categorization-in-e-government-informa,http://dx.doi.org/10.5771/0943-7444-2014-1-76,,10.5771/0943-7444-2014-1-76,1839790462,,0,,2
049-831-248-161-55X,ISKO 15’s Bookshelf: Dispersion in a Digital Age— An Editorial,,2018,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Richard P. Smiraglia,,45,5,343,357,Library science; Dispersion (optics); History,,,,,http://dx.doi.org/10.5771/0943-7444-2018-5-343,http://dx.doi.org/10.5771/0943-7444-2018-5-343,,10.5771/0943-7444-2018-5-343,2898582882,,0,,0
