Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
022-354-609-676-470,Classification Literature 13 (1986) No. 2,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,108,124,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-108,,10.5771/0943-7444-1986-2-108,,,0,,0
022-888-516-545-291,Titelei/Inhaltsverzeichnis,,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,2,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-2-i,,10.5771/0943-7444-1987-2-i,,,0,,0
023-854-075-990-867,"Index to Vols. 13, 14, and 15",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,3,181,186,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-3-181,,10.5771/0943-7444-1988-3-181,,,0,,0
024-684-224-477-168,"Craven, T.C.: String Indexing (W. Gödert)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,2,103,104,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-2-103-1,,10.5771/0943-7444-1988-2-103-1,,,0,,0
026-626-272-346-370,"Perreault, J.M.: The Idea of Order in Bibliography (H. Beck)",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,2,101,103,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-2-101,,10.5771/0943-7444-1987-2-101,,,0,,0
026-718-216-695-005,FID/CR 16,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,1,31,34,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-1-31,,10.5771/0943-7444-1986-1-31,,,0,,0
028-063-710-419-75X,Dt. Bibliotheksinstitut: PRECIS: Für die Anwendung in deutschen Bibliotheken überarbeitet und vereinfachte Form des syntaktischen Indexierungsverfahrens der British Library (J. Austin),,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,41,43,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-41,,10.5771/0943-7444-1985-1-41,,,0,,0
028-724-091-351-930,"D.J. Lehnus: Book numbers, history, principles and applications. and J.P. Comaromi: Book Numbers. A historical study and practical guide to their use. (M.P. Satija)",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,1,44,46,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-1-44,,10.5771/0943-7444-1987-1-44,,,0,,0
028-785-371-902-10X,FID/CR News 18,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,3,153,161,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-3-153,,10.5771/0943-7444-1986-3-153,,,0,,0
031-518-600-375-246,The International Classification and Indexing Bibliography and its Classification Systems,,1985,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Ingetraut Dahlberg,,12,3,143,152,Information retrieval; Computer science; Search engine indexing; Bibliography,,,,,http://dx.doi.org/10.5771/0943-7444-1985-3-143,http://dx.doi.org/10.5771/0943-7444-1985-3-143,,10.5771/0943-7444-1985-3-143,2891082514,,0,,0
031-644-870-541-061,Reports and Communications,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,93,95,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-93,,10.5771/0943-7444-1986-2-93,,,0,,0
031-723-414-278-98X,"Salton, G., McGill, M. J.: Information Retrieval: Grundlegendes für Informationswissenschaftler (H. Schnelling)",,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,1,47,47,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-1-47,,10.5771/0943-7444-1989-1-47,,,0,,0
033-021-737-656-531,,,1989,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,1,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-1,,10.5771/0943-7444-1989-1,,,0,,0
034-065-836-324-71X,Titelei/Inhaltsverzeichnis,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,3,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-3-i,,10.5771/0943-7444-1985-3-i,,,0,,0
034-072-177-576-563,H. G. Burger. The Wordtree: A transitive cladistic for solving physical and social problems (F. R. Riggs),,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,2,108,110,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-2-108,,10.5771/0943-7444-1985-2-108,,,0,,0
034-112-194-018-022,"Austin, D.: PRECIS: A manual of concept analysis and subject indexing, 2nd ed. (H. Beck)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,37,38,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-37,,10.5771/0943-7444-1988-1-37,,,0,,0
034-442-624-603-689,Titelei/Inhaltsverzeichnis,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,3,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-3-i,,10.5771/0943-7444-1986-3-i,,,0,,0
034-619-808-512-192,COCTA News,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,27,28,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-27,,10.5771/0943-7444-1985-1-27,,,0,,1
034-647-597-258-304,"Rajagopalan, T.S. (Ed.): Relevance of Ranganathan’s constributions to libraryscience (K.G.B. Bakewell)",,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,2,111,112,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-2-111,,10.5771/0943-7444-1989-2-111,,,0,,0
